#Identifiant;Libellé_du_site;Caractéristique_du_site;Adresse;Complément_d_adresse;Lieu_dit;Code_postal;Localité;Pays;latitude;longitude;Précision_du_géocodage;Numéro_de_téléphone;Changeur_de_monnaie;Distributeur_de_billets;Distributeur_de_timbres;Photocopie;Distributeur_Prêt_à_Poster;Affranchissement_Libre_Service;Bornes_de_rechargement_MONEO;Accessibilité_Absence_de_ressaut_de_plus_de_2_cm_de_haut;Accessibilité_Automate_d_affranchissement_avec_prise_audio;Accessibilité_Boucle_magnétique_en_état_de_fonctionnement;Accessibilité_Distributeur_de_billets_avec_prise_audio;Accessibilité_Entrée_autonome_en_fauteuil_roulant_possible;Accessibilité_Pas_d_escalier_ou_bandes_de_vigilance_présentes;Accessibilité_Présence_d_un_panneau_prioritaire
00001A;AMBERIEU EN BUGEY;Bureau de poste;38 RUE ALEXANDRE BERARD;;BP 602;01500;AMBERIEU EN BUGEY;FRANCE;45.9596;5.35802;Géocodé au numéro;3631;Oui;Oui;Non;Non;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non;Non
00002A;AMBERIEU EN DOMBES BP;Bureau de poste;240 RUE GOMBETTE;;;01330;AMBERIEUX EN DOMBES;FRANCE;45.996391;4.903349;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non
00003A;AMBRONAY BP;Bureau de poste;PLACE DE LA BOUVERIE;;;01500;AMBRONAY;FRANCE;46.0061;5.36085;Géocodé au milieu de la rue;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui
00004A;ANGLEFORT AP;Relais poste commerçant; ; ; ;01350;ANGLEFORT;FRANCE;45.9133;5.8089;Géocodé au milieu de la rue;0450564460;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00005A;ARBENT BP;Bureau de poste;56 RUE DU GENERAL ANDREA;;;01100;ARBENT;FRANCE;46.295031;5.680664;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00006A;ARGIS AP;Relais poste commerçant;LES RAISINS D OR;HOTEL RESTAURANT;;01230;ARGIS;FRANCE;45.933;5.49078;Géocodé au centre de la commune;0474365112;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00007A;BELLEGARDE ARLOD BP;Bureau de poste;16 RUE CENTRALE;;;01200;BELLEGARDE SUR VALSERINE;FRANCE;46.097558;5.815029;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00008A;ARS SUR FORMANS BP;Bureau de poste;RUE JEAN MARIE VIANNEY;;;01480;ARS SUR FORMANS;FRANCE;45.9929;4.82172;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00009A;ARTEMARE BP;Bureau de poste;13 RUE NEUVE;;;01510;ARTEMARE;FRANCE;45.8741;5.69329;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Oui
00010A;ATTIGNAT BP;Bureau de poste;83 RUE DE L ANCIEN MARCHE;;;01340;ATTIGNAT;FRANCE;46.2893;5.15864;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non
00011A;BAGE LE CHATEL BP;Bureau de poste;RUE CONDAMNALE;;;01380;BAGE LE CHATEL;FRANCE;46.307695;4.92961;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00012A;BEAUPONT AP;Relais poste commerçant; ; ; ;01270;BEAUPONT;FRANCE;46.4103;5.26445;Géocodé au centre de la commune;0474512067;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00013A;BEAUREGARD AP;Agence postale commnunale;99 RUE HECTOR BERLIOZ;MAIRIE;;01480;BEAUREGARD;FRANCE;46.002913;4.751099;Géocodé au numéro;0474607661;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00014A;BELLIGNAT BP;Bureau de poste;1 AVENUE DE LA GARE;;;01100;BELLIGNAT;FRANCE;46.241585;5.628457;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non
00015A;BELIGNEUX CAMP DE LA VALBONNE BP;Bureau de poste;CAMP MILITAIRE LA VALBONNE; ; ;01360;BELIGNEUX;FRANCE;45.849;5.12471;Géocodé au numéro;3631;Oui;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
00016A;BELLEGARDE SUR VALSERINE PAL;Bureau de poste;52 B RUE DE LA REPUBLIQUE;;;01200;BELLEGARDE SUR VALSERINE;FRANCE;46.1071;5.82469;Géocodé au numéro;3631;Oui;Oui;Non;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Non
00017A;BELLEY;Bureau de poste;1 BOULEVARD DU MAIL;;;01300;BELLEY;FRANCE;45.7608;5.68797;Géocodé au numéro;3631;Oui;Oui;Non;Non;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non;Non
00018A;BEREYZIAT AP;Relais poste commerçant;LE BOURG; ; ;01340;BEREZIAT;FRANCE;46.3681;5.04498;Géocodé au centre de la commune;0474505485;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00019A;BETTANT AP;Relais poste commerçant;RUE DE LA POSTE;;;01500;BETTANT;FRANCE;45.9434;5.36432;Géocodé au milieu de la rue;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00020A;BEYNOST BP;Bureau de poste;107 RUE DU MIDI;;;01700;BEYNOST;FRANCE;45.8365;4.9999;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non
00021A;BILLIAT AP;Relais poste commerçant; ; ; ;01200;BILLIAT;FRANCE;46.0775;5.78444;Géocodé au milieu de la rue;0450599640;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00022A;BIZIAT AP;Agence postale commnunale; ; ; ;01290;BIZIAT;FRANCE;46.2176;4.94274;Géocodé au centre de la commune;0474501071;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00023A;LA BOISSE AP;Agence postale commnunale;31 PLACE DE LA MAIRIE; ; ;01120;LA BOISSE;FRANCE;45.8418;5.03248;Géocodé au numéro;0478068405;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00024A;BOLOZON AP;Agence postale commnunale;LA GARE; ; ;01450;BOLOZON;FRANCE;46.1928;5.47389;Géocodé au centre de la commune;0474429228;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00025A;BOURG EN BRESSE PREFECTURE;Bureau de poste;1 AVENUE ALPHONSE MUSCAT;;;01000;BOURG EN BRESSE;FRANCE;46.2028;5.22057;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui
00026A;BREGNIER CORDON BP;Bureau de poste;LA BRUYERE;;;01300;BREGNIER CORDON;FRANCE;45.6479;5.61958;Géocodé au centre de la commune;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00027A;BRENOD AP;Relais poste commerçant;RUE PRINCIPALE;TABAC GUDIN MIREILLE; ;01110;BRENOD;FRANCE;46.0585;5.60488;Géocodé au centre de la commune;0474360296;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00028A;CORGENON AP;Relais poste commerçant;152 CHEMIN NEUF;MAGASIN CAP ON LINE;CORGENON;01310;BUELLAS;FRANCE;46.198072;5.159369;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00029A;CERDON AP;Relais poste commerçant;GRANDE RUE;AU BON PAIN CAMPAGNARD; ;01450;CERDON;FRANCE;46.0806;5.46546;Géocodé au centre de la commune;0474399600;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00030A;CEYZERIAT;Bureau de poste;RUE JEROME LALANDE; ; ;01250;CEYZERIAT;FRANCE;46.1792;5.32547;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non
00031A;CEYZERIEU AP;Agence postale commnunale;LE BOURG; ; ;01350;CEYZERIEU;FRANCE;45.8355;5.72584;Géocodé au centre de la commune;0479879217;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00032A;CHALAMONT BP;Bureau de poste;PLACE DU MARCHE; ; ;01320;CHALAMONT;FRANCE;45.9953;5.16956;Géocodé au centre de la commune;3631;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non
00035A;CHALLEX AP;Relais poste commerçant;554 RUE DE LA TREILLE;MAISON DE RETRAITE LES CYCLAMENS; ;01630;CHALLEX;FRANCE;46.1802;5.96925;Géocodé au numéro;0450564650;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00036A;CHAMPAGNE EN VALROMEY BP;Bureau de poste;PLACE BRILLAT SAVARIN; ; ;01260;CHAMPAGNE EN VALROMEY;FRANCE;45.904706;5.679111;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non
00037A;CHAMPDOR AP;Agence postale commnunale;LE VILLAGE; ; ;01110;CHAMPDOR;FRANCE;46.0157;5.59695;Géocodé au centre de la commune;0474363499;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00038A;CHAMPFROMIER AP;Agence postale commnunale; ; ; ;01410;CHAMPFROMIER;FRANCE;46.1912;5.81428;Géocodé au centre de la commune;0450560484;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00039A;CHANAY AP;Agence postale commnunale;VILLAGE; ; ;01420;CHANAY;FRANCE;46.0044;5.7852;Géocodé au centre de la commune;0450595220;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00040A;CHANEINS AP;Agence postale commnunale;LE BOURG; ; ;01990;CHANEINS;FRANCE;46.098;4.85184;Géocodé au centre de la commune;0474558891;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00043A;CHATEAU GAILLARD AP;Relais poste commerçant; ;SALON DE COIFFURE; ;01500;CHATEAU GAILLARD;FRANCE;45.9729;5.30566;Géocodé au milieu de la rue;0474381136;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00044A;CHATILLON EN MICHAILLE BP;Bureau de poste;127 RUE DE LA POSTE;;;01200;CHATILLON EN MICHAILLE;FRANCE;46.142333;5.797952;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non
00045A;CHATILLON LA PALUD AP;Relais poste commerçant; ; ; ;01320;CHATILLON LA PALUD;FRANCE;45.9757;5.25633;Géocodé au centre de la commune;0437610794;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00046A;CHATILLON SUR CHALARONNE;Bureau de poste;270 AVENUE RAYMOND SARBACH;;;01400;CHATILLON SUR CHALARONNE;FRANCE;46.1197;4.9601;Géocodé au milieu de la rue;3631;Non;Oui;Non;Non;Non;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Non
00047A;CHAVANNES SUR SURAN AP;Relais poste commerçant; ;LES FLORALIES TABAC PRESSE FLEURS; ;01250;CHAVANNES SUR SURAN;FRANCE;46.2652;5.42642;Géocodé au centre de la commune;0474517243;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00048A;CHAVEYRIAT AP;Agence postale commnunale;VILLAGE; ; ;01660;CHAVEYRIAT;FRANCE;46.1964;5.06109;Géocodé au centre de la commune;0474519012;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00049A;BOURG EN BRESSE FONTAINE BERNARD BP;Bureau de poste;14 RUE BERNARD; ; ;01000;BOURG EN BRESSE;FRANCE;46.205899;5.22814;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Oui;Non
00050A;CHAZEY BONS AP;Relais poste commerçant;ROUTE NATIONALE 504; ;BONS;01300;CHAZEY BONS;FRANCE;45.8039;5.68146;Géocodé au centre de la commune;0479817210;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00051A;BOURG AMEDEE MERCIER BP;Bureau de poste;57 AVENUE AMEDEE MERCIER;;;01000;BOURG EN BRESSE;FRANCE;46.2035;5.24345;Géocodé au numéro;3631;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui
00052A;CHEVRY AP;Agence postale commnunale;254 RUE SAINT MAURICE;;;01170;CHEVRY;FRANCE;46.2823;6.03687;Géocodé au centre de la commune;0450426144;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00053A;CHEZERY FORENS AP;Agence postale commnunale; ; ; ;01410;CHEZERY FORENS;FRANCE;46.2232;5.86951;Géocodé au centre de la commune;0450567312;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00054A;CIVRIEUX AP;Relais poste commerçant;LE VILLAGE;LA BASCULE; ;01390;CIVRIEUX;FRANCE;45.9201;4.8836;Géocodé au milieu de la rue;0478980529;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00055A;COLIGNY BP;Bureau de poste;PLACE DE LA MAIRIE; ; ;01270;COLIGNY;FRANCE;46.3854;5.34705;Géocodé au centre de la commune;3631;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Oui;Oui;Oui;Non;Non
00056A;COLLONGES BP;Bureau de poste;134 RUE DU FORT; ; ;01550;COLLONGES;FRANCE;46.1371;5.9031;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non
00057A;CONDEISSIAT AP;Agence postale commnunale;LE VILLAGE; ; ;01400;CONDEISSIAT;FRANCE;46.1576;5.07898;Géocodé au centre de la commune;0474514423;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00058A;CONFORT AP;Relais poste commerçant;PLACE SOEUR ROSALIE RENDU;;;01200;CONFORT;FRANCE;46.1496;5.82215;Géocodé au milieu de la rue;0450560312;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00059A;CORBONOD AP;Relais poste commerçant;370 GRANDE RUE;MAGASIN VIVAL;GIGNEZ;01420;CORBONOD;FRANCE;45.9676;5.8215;Géocodé au centre de la commune;0450561950;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00060A;CORMARANCHE EN BUGEY AP;Agence postale commnunale; ; ; ;01110;CORMARANCHE EN BUGEY;FRANCE;45.9537;5.6089;Géocodé au centre de la commune;0474353319;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00061A;CORMORANCHE SUR SAONE AP;Relais poste commerçant;15 RUE DU JET D EAU;;;01290;CORMORANCHE SUR SAONE;FRANCE;;;Non renseigné;0385362071;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00062A;CORVEISSIAT AP;Agence postale commnunale;LE BOURG; ; ;01250;CORVEISSIAT;FRANCE;46.2436;5.48134;Géocodé au centre de la commune;0474507021;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00063A;CRAS SUR REYSSOUZE AP;Relais poste commerçant;LE BOURG;VIVAL;;01340;CRAS SUR REYSSOUZE;FRANCE;46.3097;5.1657;Géocodé au centre de la commune;0474259260;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00064A;CULOZ BP;Bureau de poste;19 B AVENUE JEAN FALCONNIER;LA ROSERAIE; ;01350;CULOZ;FRANCE;45.8477;5.78419;Géocodé au numéro;3631;Non;Oui;Non;Oui;Non;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non
00065A;DAGNEUX AP;Agence postale commnunale;PLACE DES TILLEULS; ; ;01120;DAGNEUX;FRANCE;45.8517;5.06989;Géocodé au centre de la commune;0472257523;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00066A;DIVONNE LES BAINS BP;Bureau de poste;PLACE DE L EGLISE;;;01220;DIVONNE LES BAINS;FRANCE;46.3572;6.14322;Géocodé au milieu de la rue;3631;Oui;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non
00067A;DOMPIERRE SUR VEYLE AP;Agence postale commnunale; ; ; ;01240;DOMPIERRE SUR VEYLE;FRANCE;46.0718;5.20533;Géocodé au milieu de la rue;0474329710;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00068A;DORTAN BP;Bureau de poste;1 PLACE DE L HOTEL DE VILLE;;;01590;DORTAN;FRANCE;46.3181;5.65735;Géocodé au centre de la commune;3631;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non
00069A;ECHALLON AP;Relais poste commerçant; ; ; ;01130;ECHALLON;FRANCE;46.2123;5.73992;Géocodé au centre de la commune;0474764193;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00070A;FAREINS BP;Bureau de poste;ROUTE DE FLECHERES;;;01480;FAREINS;FRANCE;46.0185;4.76121;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non
00071A;FARGES AP;Agence postale commnunale; ; ; ;01550;FARGES;FRANCE;46.1667;5.90483;Géocodé au centre de la commune;0450563789;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00072A;FEILLENS BP;Bureau de poste;815 GRANDE RUE; ; ;01570;FEILLENS;FRANCE;46.339;4.89226;Géocodé au milieu de la rue;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00073A;FERNEY VOLTAIRE;Bureau de poste;1 AVENUE VOLTAIRE;;;01210;FERNEY VOLTAIRE;FRANCE;46.256585;6.108932;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;Oui;Oui;Non;Non
00074A;FOISSIAT BP;Bureau de poste;LE BOURG;;;01340;FOISSIAT;FRANCE;46.3713;5.17701;Géocodé au centre de la commune;3631;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non
00075A;GEX;Bureau de poste;2 RUE DES ACACIAS;;;01170;GEX;FRANCE;46.3329;6.05924;Géocodé au milieu de la rue;3631;Non;Oui;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Non
00076A;GRILLY AP;Agence postale commnunale;34 CHEMIN JACQUES BELAY; ; ;01220;GRILLY;FRANCE;46.3315;6.1142;Géocodé au milieu de la rue;0450203389;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00077A;GUEREINS BP;Bureau de poste;RUE DU CENTRE;;;01090;GUEREINS;FRANCE;46.104311;4.776671;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00078A;HAUTEVILLE LOMPNES BP;Bureau de poste;350 RUE DE LA REPUBLIQUE; ; ;01110;HAUTEVILLE LOMPNES;FRANCE;45.976994;5.601861;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non;Non
00079A;HOTONNES AP;Relais poste commerçant; ; ; ;01260;HOTONNES;FRANCE;45.9978;5.69254;Géocodé au centre de la commune;0479877358;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00080A;INJOUX GENISSIAT AP;Agence postale commnunale; ; ; ;01200;INJOUX GENISSIAT;FRANCE;46.0508;5.8056;Géocodé au milieu de la rue;0450599415;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00081A;IZERNORE BP;Bureau de poste;551 GRANDE RUE;;;01580;IZERNORE;FRANCE;46.2201;5.5544;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non
00082A;JASSANS RIOTTIER BP;Bureau de poste;208 PLACE DE LIMELETTE; ; ;01480;JASSANS RIOTTIER;FRANCE;45.984;4.75741;Géocodé au numéro;3631;Oui;Oui;Non;Oui;Non;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Non
00083A;JASSERON AP;Agence postale commnunale;PLACE ANDRE GALLAND; ; ;01250;JASSERON;FRANCE;46.2117;5.32515;Géocodé au numéro;0474300109;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00084A;JUJURIEUX BP;Bureau de poste;PLACE DE L HOTEL DE VILLE;;;01640;JUJURIEUX;FRANCE;46.0389;5.41008;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non
00085A;LAGNIEU;Bureau de poste;11 AVENUE DU PORT;;;01150;LAGNIEU;FRANCE;45.900307;5.347762;Géocodé au numéro;3631;Oui;Oui;Non;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Non
00086A;LANTENAY AP;Agence postale commnunale; ; ; ;01430;LANTENAY;FRANCE;46.0569;5.54097;Géocodé au centre de la commune;0474764327;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00087A;LELEX BP;Bureau de poste;ROUTE DE MIJOUX; ; ;01410;LELEX;FRANCE;46.3036;5.94187;Géocodé au milieu de la rue;3631;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00088A;LENT AP;Agence postale commnunale;RUE DE LA POSTE; ; ;01240;LENT;FRANCE;46.1193;5.19681;Géocodé au numéro;0474225040;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
00089A;LEYMENT AP;Agence postale commnunale; ; ; ;01150;LEYMENT;FRANCE;45.9233;5.29408;Géocodé au milieu de la rue;0474349067;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00090A;LHUIS BP;Bureau de poste;LE BOURG; ; ;01680;LHUIS;FRANCE;45.746;5.53294;Géocodé au centre de la commune;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non
00091A;LOYETTES AP;Agence postale commnunale;42 RUE DU BUGEY; ; ;01360;LOYETTES;FRANCE;45.7758;5.20442;Géocodé au centre de la commune;0478327150;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00092A;MAILLAT AP;Agence postale commnunale;RUE DE L EGALITE; ; ;01430;MAILLAT;FRANCE;46.127463;5.53918;Géocodé au numéro;0474757235;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00093A;MANZIAT AP;Relais poste commerçant;1230 GRANDE RUE;MME MARTY; ;01570;MANZIAT;FRANCE;46.36;4.90926;Géocodé au centre de la commune;0385239524;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00094A;MARBOZ BP;Bureau de poste;6 RUE DE LA POSTE;;;01851;MARBOZ;FRANCE;46.3423326;5.2574800;Géocodé au milieu d un îlot;3631;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00095A;MARLIEUX AP;Relais poste commerçant;AU BOURG; ; ;01240;MARLIEUX;FRANCE;46.0652;5.07392;Géocodé au centre de la commune;0474428005;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00096A;MARTIGNAT AP;Agence postale commnunale;195 GRANDE RUE;MAIRIE; ;01100;MARTIGNAT;FRANCE;46.2104;5.60963;Géocodé au numéro;0474811294;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00097A;MEILLONNAS AP;Agence postale commnunale;LA VILLE; ; ;01370;MEILLONNAS;FRANCE;46.2431;5.35009;Géocodé au centre de la commune;0474420661;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00098A;MESSIMY SUR SAONE AP;Relais poste commerçant; ; ; ;01480;MESSIMY SUR SAONE;FRANCE;46.0483;4.7645;Géocodé au numéro;0474678038;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00099A;MEXIMIEUX;Bureau de poste;7 PLACE LIEUTENANT GIRAUD;;;01800;MEXIMIEUX;FRANCE;45.9041;5.19298;Géocodé au milieu de la rue;3631;Oui;Oui;Non;Non;Non;Oui;Oui;Oui;Oui;Oui;Non;Oui;Non;Non
00100A;MEZERIAT BP;Bureau de poste;24 PLACE DU MARCHE; ; ;01660;MEZERIAT;FRANCE;46.2351;5.04631;Géocodé au centre de la commune;3631;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non
00101A;MIJOUX AP;Agence postale commnunale; ; ; ;01410;MIJOUX;FRANCE;46.3665;5.99573;Géocodé au centre de la commune;0450411146;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00102A;MIONNAY AP;Relais poste commerçant;CHEMIN RONDE; ; ;01390;MIONNAY;FRANCE;45.8951;4.92962;Géocodé au centre de la commune;0478910557;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00103A;MIRIBEL;Bureau de poste;SQUARE LUCIEN AGNEL;;;01700;MIRIBEL;FRANCE;45.82408;4.950498;Géocodé au numéro;3631;Oui;Oui;Non;Non;Non;Oui;Oui;Oui;Non;Oui;Non;Oui;Non;Non
00104A;MISERIEUX AP;Relais poste commerçant;GRANDE RUE;STE GENIVAL VIVAL SUPERETTE; ;01600;MISERIEUX;FRANCE;45.9755;4.81019;Géocodé au numéro;0474005258;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00105A;MONTAGNAT AP;Agence postale commnunale;135 CHEMIN DE L EGLISE; ; ;01250;MONTAGNAT;FRANCE;46.1716;5.28693;Géocodé au milieu de la rue;0474426743;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00106A;MONTLUEL BP;Bureau de poste;226 AVENUE DE LA GARE; ; ;01120;MONTLUEL;FRANCE;45.8498;5.05731;Géocodé au numéro;3631;Oui;Oui;Non;Non;Non;Oui;Non;Non;Non;Oui;Oui;Non;Non;Non
00107A;MONTMERLE SUR SAONE BP;Bureau de poste;6 PLACE DE L EGLISE;;;01090;MONTMERLE SUR SAONE;FRANCE;46.080707;4.758604;Géocodé au numéro;3631;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Oui;Non;Oui;Non;Non
00108A;MONTREAL LA CLUSE;Bureau de poste;18 AVENUE DE BRESSE; ; ;01460;MONTREAL LA CLUSE;FRANCE;46.171577;5.574253;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Oui;Non;Oui;Oui;Oui;Non;Oui;Non;Non
00109A;MONTREVEL EN BRESSE;Bureau de poste;9 PLACE DU 3 SEPTEMBRE;;;01340;MONTREVEL EN BRESSE;FRANCE;46.3375;5.1289;Géocodé au milieu de la rue;3631;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non
