#Identifiant;Libellé_du_site;Caractéristique_du_site;Adresse;Complément_d_adresse;Lieu_dit;Code_postal;Localité;Pays;latitude;longitude;Précision_du_géocodage;Numéro_de_téléphone;Changeur_de_monnaie;Distributeur_de_billets;Distributeur_de_timbres;Photocopie;Distributeur_Prêt_à_Poster;Affranchissement_Libre_Service;Bornes_de_rechargement_MONEO;Accessibilité_Absence_de_ressaut_de_plus_de_2_cm_de_haut;Accessibilité_Automate_d_affranchissement_avec_prise_audio;Accessibilité_Boucle_magnétique_en_état_de_fonctionnement;Accessibilité_Distributeur_de_billets_avec_prise_audio;Accessibilité_Entrée_autonome_en_fauteuil_roulant_possible;Accessibilité_Pas_d_escalier_ou_bandes_de_vigilance_présentes;Accessibilité_Présence_d_un_panneau_prioritaire
13621A;BEAUMONT SUR SARTHE;Bureau de poste;PLACE DUFOUR;;;72170;BEAUMONT SUR SARTHE;FRANCE;48.2267;0.129283;Géocodé au milieu de la rue;3631;Non;Oui;Non;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13622A;BERNAY EN CHAMPAGNE AP;Agence postale commnunale;ROUTE DE CONLIE; ; ;72240;BERNAY EN CHAMPAGNE;FRANCE;48.073;-0.060037;Géocodé au centre de la commune;0243273374;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13623A;BESSE SUR BRAYE BP;Bureau de poste;15 RUE EMILE ZOLA;;;72310;BESSE SUR BRAYE;FRANCE;47.8354;0.75295;Géocodé au milieu de la rue;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non
13624A;BOESSE LE SEC AP;Relais poste commerçant;63 RUE PRINCIPALE;RESTAURANT BAR BRASSERIE - DUBRAY;;72400;BOESSE LE SEC;FRANCE;48.1321673;0.5698463;Géocodé au numéro;0243937604;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13625A;BONNETABLE BP;Bureau de poste;17 RUE SAINT NICOLAS; ; ;72110;BONNETABLE;FRANCE;48.186;0.429816;Géocodé au centre de la commune;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;Non;Non;Non;Non
13626A;BOULOIRE BP;Bureau de poste;PLACE DE LA BASCULE; ; ;72440;BOULOIRE;FRANCE;47.9717;0.558494;Géocodé au numéro;3631;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13627A;BOURG LE ROI AP;Agence postale commnunale;37 RUE DU POINT DE BEAUVAIS; ; ;72610;BOURG LE ROI;FRANCE;48.3433;0.13427;Géocodé au milieu de la rue;0233268398;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13628A;LE BREIL SUR MERIZE BP;Bureau de poste;4 RUE DES TISSERANDS;;;72370;LE BREIL SUR MERIZE;FRANCE;48.0101;0.475109;Géocodé au milieu de la rue;3631;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non
13629A;BRETTE LES PINS AP;Agence postale commnunale;22 RUE DES GLYCINES; ; ;72250;BRETTE LES PINS;FRANCE;47.9133;0.337767;Géocodé au milieu de la rue;0243758400;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
13630A;BRULON BP;Bureau de poste;PLACE GAUTHIER CHEVREUIL;;;72350;BRULON;FRANCE;47.9674;-0.236414;Géocodé au milieu de la rue;3631;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Oui;Non;Oui;Non;Non
